Provincia;Anio;Trimestre;01_alimentos;02_tabaco;03_vestido;04_vivienda;05_hogar;06_sanidad;07_transporte;08_comunicaciones;09_ocio;10_enseñanza;11_restaurantes;12_otros;00_general
Toledo;2009;2;0.2672815176702723;0.2536168081899381;0.1936945943821949;0.0;0.6271986747483106;0.12649803608427762;0.7404056307211526;0.21244527437148777;0.4262937646896597;0.20759536784741164;0.520193410604135;0.5476131084498507;0.22066082875880902
Toledo;2009;3;0.280759951558368;0.4979064517223753;0.4473257807640532;0.0;0.6691276971569344;0.13299300519472912;0.725089251960983;0.20775497242545327;0.3903738971733828;0.21807300744954236;0.46392012688618706;0.5236373263095978;0.24169080312657484
Toledo;2009;4;0.28923687478632326;0.4846536300826651;0.49674671585704194;0.0;0.6015980661324765;0.13237493157003324;0.7073967472516564;0.2069894670713457;0.4197443715387827;0.16932353677975365;0.5034955649508915;0.5288760957540567;0.26078685007286273
Toledo;2010;1;0.27533495510232386;0.5640251886914335;0.48869835120880006;0.08110006688189277;0.6399591607363535;0.11727708703278045;0.7187857675265569;0.20726116054877677;0.4685179336673517;0.16021653810834358;0.5134435735702207;0.544911670986672;0.2651278582379187
Toledo;2010;2;0.28418408480156393;0.6463253053784244;0.19432071026699613;0.24304785240552515;0.5810565008556347;0.13199903813175576;0.6521870200782749;0.20784140131917192;0.471777584275682;0.161715883278001;0.48906317863193155;0.5301777491167897;0.24143493515139555
Toledo;2010;3;0.32379730883095753;0.7414795014343182;0.4456723736826193;0.12879119627766245;0.6202065817965763;0.11975588791707308;0.7091315554074994;0.21218668703672414;0.4244726736848475;0.19316108956730801;0.4473788198044715;0.5436027132841939;0.28696607412035785
Toledo;2010;4;0.34761223602768987;0.7698569108657489;0.4826439150863418;0.3075246484824439;0.6005713506259247;0.12409579078050827;0.8325387879155132;0.2118320605721189;0.38966913894066635;0.24048799403371804;0.5024847128293263;0.5313562149381365;0.363748373548231
Toledo;2011;1;0.3507989203731163;0.852154211085129;0.48492799340393306;0.6298966847940101;0.6349874715228202;0.11436274074572285;0.7606590596192291;0.21087092736408208;0.3886092396982692;0.20929589216317232;0.5272528510111506;0.589200859672248;0.45836748750420586
Toledo;2011;2;0.3685357473661493;0.8002615006517609;0.1898681346732096;0.6871075013146791;0.6043793855815108;0.15243672808938094;0.793010283655503;0.2125742990443237;0.4385337683141517;0.19494552598678283;0.5256082879270214;0.5961584123001903;0.4369150906190323
Toledo;2011;3;0.3802454629519952;0.7794929206646136;0.48322401989200786;0.6283958377583739;0.6567078969117462;0.1556806918255007;0.763669061877395;0.21315651115821455;0.4922784708550599;0.20771214485310588;0.46576434073781936;0.6087136412957708;0.4676905937708275
Toledo;2011;4;0.3843228861200379;0.9106085102768473;0.49741455170935583;0.6596650119414648;0.6096329688193164;0.18468824708739506;0.7057322425058875;0.20919986841680324;0.44951898017202546;0.19216074851309828;0.5562543557263053;0.565536855541746;0.49250240602999523
Toledo;2012;1;0.3489661397110854;0.913958114651854;0.47639326018413475;0.6502094886639548;0.630468823951592;0.1759004928995712;0.7997022838296143;0.20241171398546434;0.40750094383245955;0.1748684970186121;0.48341870409518223;0.5595493538278643;0.4903657946403441
Toledo;2012;2;0.36236993686277114;0.9239551214507912;0.1987041181901402;0.649750339823637;0.6005565080514831;0.18274542795804283;0.7716927418617209;0.19545444856932595;0.4070077347229613;0.16861665519614613;0.46877783985198707;0.5602019578813451;0.3946843734593921
Toledo;2012;3;0.38595323877837834;0.9309905146590235;0.4996620901603326;0.6796352532686921;0.6003986224654473;0.2726263630897558;0.7347840725658551;0.22805969032038922;0.41328658958642706;0.17204993759390752;0.4720090024917721;0.5162949591851533;0.4511448606875947
Toledo;2012;4;0.3710859625936269;0.9478283579753252;0.5120719936137982;0.7183546799474282;0.5704871529006346;0.30343975496740494;0.7344984244543658;0.29204660379755565;0.4352824309928758;0.25852498692679676;0.4924093772834289;0.5549297933668963;0.4623071271984572
Toledo;2013;1;0.38974658593988143;0.9506673743109909;0.481784772875732;0.6837027937014502;0.626295436953333;0.28046802475965293;0.8529283011386938;0.2897621516037492;0.4718832567842561;0.26312035055538646;0.4781487357974636;0.5038351610168852;0.5527238732519572
Toledo;2013;2;0.3872601264156639;0.9219873794838921;0.1887334607592799;0.6822627011804513;0.6251713154084261;0.30829424302510783;0.7786442202965262;0.2881896110975977;0.459962698635793;0.26690721649484517;0.5103669737228409;0.5128821523815034;0.4020317010827565
Toledo;2013;3;0.46966240864667846;0.939322051781042;0.47273253990020353;0.7702113740681447;0.627586095674946;0.16859980710619174;0.7484405155824408;0.28779084611190103;0.4450742254703181;0.2788378877308105;0.5117547270292179;0.4929950726976419;0.5503858083294806
Toledo;2013;4;0.3244930626392332;0.9370096344196693;0.50897158787243;0.77673620493377;0.6175422627281586;0.1614691069331035;0.7384856706882165;0.28708847186486847;0.39289516962619003;0.33451581269498787;0.47741976922474944;0.49552531386193444;0.46983080686406503
Toledo;2014;1;0.2273404235929977;0.9245728670341397;0.5654222491778724;0.7059147636547222;0.6307801885613574;0.1440978182371728;0.6853357689204259;0.28658315930951367;0.4164736283544798;0.2928840476432859;0.4982458798461646;0.49985129983624094;0.4134962859343967
