Provincia,Trimestre,Anio,homicidios_consumados,drogas,homicidios_tentativa,lesiones,secuestro,sexual_agresion,sexual_otros,robos_violencia,robos_fuerza,hurtos,vehiculos,resto,Inm_De Africa,Inm_De América del Norte,Inm_De Asia,Inm_De Centro América y Caribe,Inm_De Oceanía,Inm_De Sudamérica,Inm_Europa_UE,Inm_Europa_no_UE,EM_Total,EM_Hombres,EM_Mujeres,IPC_01_alimentos,IPC_02_tabaco,IPC_03_vestido,IPC_04_vivienda,IPC_05_hogar,IPC_06_sanidad,IPC_07_transporte,IPC_08_comunicaciones,IPC_09_ocio,IPC_10_enseñanza,IPC_11_restaurantes,IPC_12_otros,IPC_00_general,Pobl_Hombres,Pobl_Mujeres,Pobl_Total poblacion,Desigualdad_gini,Desigualdad_p80p20,Soc_num_sociedades_sa,Soc_desmboldo_sociedades_sa,Soc_num_sociedades_sl,Soc_desembolso_sociedades_sl,Soc_num_sociedades_total,Soc_desembolso_sociedades_total,Paro_tasa_actividad,Paro_tasa_paro,Paro_tasa_empleo,cluster
Albacete,2,2019,0.0,0.7465068627148138,0.0257416159556832,0.6950236308034473,0.0,0.1029664638227329,0.7722484786704971,1.776171500942143,4.710715719890032,21.05664185174889,0.6950236308034473,49.16648647535498,6751,228,858,704,9,5067,1526,9972,43.41,42.25,44.56,0.5780191043614681,0.4353402566048421,0.4050503243668441,0.6103778870476693,0.2185631943433657,0.3931683682615374,0.8424932882208563,0.4205630975680377,0.0392811296534021,0.3328191284226764,0.3948187722200905,0.5344905587546016,0.4107507560656711,194034,194442,388476,31.1,2.6,2,75,666,52544,668,52619,55.95,17.7,46.05,1
Albacete,2,2020,0.0,0.2833459551076972,0.0,0.7727616957482651,0.0,0.0,0.4378982942573503,0.3606221246825237,2.601631042352493,7.392753555991737,0.309104678299306,39.97753839337692,7358,234,926,862,8,5492,1545,9891,43.67,42.52,44.83,0.7162244342313572,0.5443905826607024,0.4168110148039215,0.3094965454895337,0.5825593012850045,0.6474472672121999,0.4449765881325837,0.4421023252258035,0.2243765366821442,0.2054142293565489,0.5023213676803137,0.1653839399444924,0.309906596037719,193996,194222,388218,31.2,2.6,3,175,486,9362,489,9537,53.56,17.41,44.23,1
Albacete,2,2021,0.0,0.6967777898208507,0.2064526784654372,0.5935514505881321,0.0,0.0774197544245389,0.7225843746290304,0.9548436379026471,2.890337498516121,13.754909702759756,0.7741975442453897,50.83897207211392,7954,235,964,1010,6,5994,2032,9608,43.85,42.71,44.99,0.6044564236443594,0.6793455760085271,0.4466693120544775,0.3593303904163712,0.6007225187169908,0.6643241307959497,0.6067598837838147,0.6125541125540747,0.7072333637912069,0.0527962456003148,0.4917753501714774,0.4076877813726549,0.5601857803033048,193784,193714,387498,30.7,2.6,3,164,617,21662,620,21826,57.55,14.49,49.21,1
Albacete,2,2022,0.0,0.5953212923131079,0.1035341377935839,0.931807240142256,0.0,0.2070682755871679,0.672971895658296,1.345943791316592,4.659036200711279,24.64112479487299,1.009457843487444,62.715803968463504,8456,230,961,1076,6,6180,1908,9595,44.14,42.97,45.3,0.6068128535089058,0.3374926201860435,0.46130182195453,0.6235827799374088,0.1370276932992223,0.2951287924220431,0.6961870485462279,0.5817150259955053,0.3897913831249919,0.6846135420449778,0.5936754597399138,0.8938174264326059,0.6524607704056179,193361,192985,386346,30.5,2.5,2,450,557,18961,559,19411,57.48,12.65,50.21,0
Albacete,2,2023,0.0,0.8791254253415661,0.0517132603142097,1.0342652062841955,0.0,0.2585663015710489,0.4912759729849928,1.137691726912615,4.473197017179145,25.417067444434103,0.7498422745560417,42.27559030686648,9016,237,1003,1191,6,6629,2088,9451,44.34,43.16,45.53,0.4078593219786575,0.5932098959549296,0.7076768483953452,0.565403059128938,0.4092176786782635,0.1334987579222073,0.6804002538399699,0.5812650994617434,0.6654731146687173,0.6620319684694544,0.708785009893603,0.6297405802365453,0.7104407521806694,193624,193124,386748,30.19397993311037,2.5510204081632653,1,100,578,21210,579,21310,59.38,12.74,51.81,1
Albacete,2,2024,0.0,0.6953404464085666,0.0,0.8498605456104703,0.0,0.2060267989358715,0.8241071957434863,1.1589007440142776,4.275056077919335,23.461301728822377,0.8241071957434863,41.56590668531209,9489,241,1033,1286,6,6929,2201,9351,44.59,43.4,45.78,0.6517906622480975,0.4970525375821171,0.6593045662122293,0.6106706498827751,0.5130665012263623,0.0713810932364706,0.853379073633406,0.580003477296568,0.457802346997505,0.6878015827060403,0.6654545955524704,0.6955147928502986,0.7618417483979539,194386,193913,388299,30.295986622073578,2.5,1,256,556,14779,558,15035,56.4,10.74,50.34,1
Albacete,3,2017,0.0,0.8193510227805189,0.1024188778475648,0.9729793395518662,0.0256047194618912,0.0512094389237824,0.3840707919283682,1.1266076563232137,5.402595806459047,30.77687279319324,0.6401179865472804,39.91775764108841,6169,208,796,626,7,4884,1492,9833,42.84,41.71,43.98,0.3371652863522038,0.7887329156135499,0.5203376443908602,0.444880288912425,0.3995359401628002,0.938171161229118,0.6768856565802132,0.4145528083905934,0.4106934891055606,0.3416067650343739,0.1802898788118342,0.3295215611852706,0.3086445628565215,195017,195536,390553,32.5,2.8,2,120,597,21072,599,21192,57.98,20.81,45.92,1
Albacete,3,2018,0.025700532258023,0.6939143709666227,0.1028021290320922,0.9766202258048764,0.025700532258023,0.1285026612901153,0.7453154354826689,1.9532404516097528,6.964844241924251,29.298606774146293,0.3855079838703459,47.95719319347104,6590,221,845,700,9,4988,1522,9790,43.12,41.98,44.25,0.4139931613420164,0.6647900576632014,0.5044444313266595,0.68901405599013,0.3461110002500234,0.7621864935982728,0.8198379954370631,0.419704559931058,0.2902494566742298,0.3640501418498775,0.515272382913173,0.4885416314888242,0.4541256978224743,194304,194793,389097,31.9,2.7,2,215,611,48812,613,49027,59.41,16.86,49.39,0
Albacete,3,2019,0.0,0.4377821441539345,0.0257518908325843,1.3133464324618036,0.0,0.1287594541629219,0.7468048341449471,1.673872904117985,6.540980271476434,26.086665413407975,1.0558275241359596,56.808671176681145,7419,226,928,867,7,5471,1560,9889,43.41,42.25,44.56,0.4956396049964824,0.5785351147925016,0.5261645799965123,0.5717935627569911,0.5223597646504454,0.3027030818880165,0.8244669422106957,0.425552104158508,0.2121533976760974,0.2972336933692072,0.3422048401862781,0.4522258434596108,0.4287551165348583,193972,194349,388321,31.1,2.6,2,75,666,52544,668,52619,56.05,16.5,46.8,0
Albacete,3,2020,0.0257569981764045,0.6181679562337087,0.0,1.0817939234089902,0.0,0.1030279927056181,0.7469529471157313,1.2878499088202264,4.687773668105624,16.43296483654609,0.7211959489393268,57.875974902380975,8020,231,987,1037,6,6163,1941,9614,43.67,42.52,44.83,0.6930297283532053,0.5159880019741997,0.5310161031857731,0.322063142741703,0.7000747438293672,0.7057725230922601,0.5471691996460454,0.4255823792488001,0.5042307028346833,0.1881301603893647,0.2853669345303628,0.3224855680649034,0.2968048003293115,194038,194205,388244,31.2,2.6,3,175,486,9362,489,9537,56.47,17.48,46.61,1
Albacete,3,2021,0.0258323172621876,0.4391493934571907,0.077496951786563,0.9041311041765692,0.0,0.1549939035731261,0.9041311041765692,1.5499390357312612,3.5390274649197133,17.927628179958255,0.5683109797681292,56.28861931430697,8394,229,939,1053,6,6048,1908,9590,43.85,42.71,44.99,0.1135770471094653,0.5575134245272997,0.5142296822836155,0.5975052000172437,0.4481406862214019,0.5064075899099877,0.4050536689250474,0.5910834794622453,0.5616342325830809,0.3787492545521351,0.421586116162959,0.3610419191798801,0.1842203039058449,193635,193476,387112,30.7,2.6,3,164,617,21662,620,21826,58.48,15.67,49.31,1
Albacete,3,2022,0.0,0.492029128124385,0.1035850796051336,1.1912284154590371,0.0,0.0517925398025668,0.6991992873346523,1.3725023047680212,3.9880255647976464,25.79268482167829,1.1912284154590371,71.16294968872684,8894,230,927,1132,8,7004,2129,9477,44.14,42.97,45.3,0.3761924028150671,0.6212777467054015,0.5252538689750418,0.6289434070227395,0.20282875753438,0.2178909875129697,0.5972893101237992,0.582047141414829,0.31490149694693,0.6539881534535072,0.6153851104484063,0.7937242877837435,0.5801221985965895,193298,192858,386156,30.5,2.5,2,450,557,18961,559,19411,56.97,11.01,50.69,0
Albacete,3,2023,0.0516611647526205,0.5682728122788256,0.0774917471289307,1.7306490192127872,0.0,0.206644659010482,0.7232563065366872,1.6273266897075462,5.579405793283016,28.10367362542556,0.7749174712893077,43.3178866450723,9134,238,1010,1215,6,6704,2116,9426,44.34,43.16,45.53,0.4304913844174196,0.5220572990603113,0.6094033960886927,0.6280613789786873,0.5270878056008518,0.1895549310518667,0.7559894206879133,0.5811553716505764,0.7210720798292677,0.7674428196219338,0.6316145815706029,0.6821472249869914,0.7430893426126314,193818,193320,387138,30.19397993311037,2.5510204081632653,1,100,578,21210,579,21310,58.24,9.11,52.93,0
Albacete,3,2024,0.0,0.668923855882928,0.0514556812217636,1.3893033929876195,0.0,0.2315505654979366,0.8747465807699828,1.7752210021508474,5.505757890728716,23.875436086898358,0.6174681746611643,43.9431517633862,9607,241,1041,1310,6,7004,2229,9327,44.59,43.4,45.78,0.6471054849962989,0.5156481206507121,0.6107174820876512,0.5349148197107428,0.5723346176900491,0.1661041556576412,0.8152414793276569,0.5797390456979588,0.59788756661915,0.7262722425030578,0.6453008452039221,0.756498720755444,0.7480073402772671,194573,194111,388684,30.295986622073578,2.5,1,256,556,14779,558,15035,57.35,9.92,51.66,0
Albacete,4,2017,0.0,0.4615005948229889,0.0,0.9742790335151988,0.0,0.0,0.4102227509537679,1.2563071747959142,7.101981375887107,23.664724945645485,0.6922508922344833,39.76596792058088,6169,208,796,626,7,4884,1492,9833,42.84,41.71,43.98,0.3452582356789265,0.7672607971839209,0.5815328816038478,0.4529874196602503,0.3934450197223342,0.8351657751350908,0.7554456344644714,0.4149313223102966,0.2637247400698267,0.3245915133216723,0.275559391847965,0.3180337880576071,0.328444145107849,194743,195289,390032,32.5,2.8,2,120,597,21072,599,21192,59.72,22.01,46.57,1
Albacete,4,2018,0.0,0.3343741801402314,0.0771632723400534,0.5915850879404094,0.0,0.0514421815600356,0.4629796340403204,1.7490341730412102,5.83868760706404,22.531675523295597,1.157449085100801,52.34241973733622,6380,214,820,663,8,4936,1507,9812,43.12,41.98,44.25,0.5545200182243316,0.6651884599360272,0.5545507512500879,0.5847078724754755,0.3172491983803625,0.7859791123939046,0.7755264793282407,0.4151281755584719,0.2189008511238914,0.3340584041065383,0.5457675102708834,0.3028508949399388,0.5820530868964447,194158,194628,388786,31.9,2.7,2,215,611,48812,613,49027,59.13,17.59,48.73,1
Albacete,4,2019,0.0,0.3091452905579299,0.0257621075464941,1.082008516952755,0.0,0.0,0.4637179358368949,1.1592948395922371,6.852720607367448,21.202214510764698,0.5410042584763775,51.62726352317431,7004,224,886,784,8,5230,1541,9840,43.41,42.25,44.56,0.6976227897819275,0.554166158804703,0.5266775549130481,0.5651752161098464,0.5344632948681133,0.3448031815134202,0.8691994037818015,0.4229138172295212,0.3730132975355347,0.2080647373474141,0.4429903085544641,0.4134276890907608,0.7815828977318722,193911,194256,388167,31.1,2.6,2,75,666,52544,668,52619,55.54,16.69,46.27,1
Albacete,4,2020,0.025755273392227,0.3605738274911788,0.0515105467844541,0.7726582017668118,0.0,0.0515105467844541,0.3348185540989518,0.927189842120174,3.50271718134288,12.748860329152397,0.5923712880212223,52.1544286192598,7720,228,958,952,6,5817,1941,9614,43.67,42.52,44.83,0.7643344130054505,0.6533754426524184,0.4997730992874848,0.3440548565526154,0.4906461935320346,0.6322931822012651,0.6680033472191872,0.4178792807058775,0.5038712958436701,0.2800996446462688,0.5370229913173751,0.2853260181647616,0.5014586114281065,194081,194189,388270,31.2,2.6,3,175,486,9362,489,9537,58.9,17.44,48.63,1
Albacete,4,2021,0.0,0.3878715162673314,0.0517162021689775,0.9050335379571066,0.0,0.0517162021689775,0.646452527112219,1.2670469531399493,4.99061350930633,21.203642889280783,0.6981687292811966,54.94846480453862,8207,230,963,1045,6,6106,1924,9602,43.85,42.71,44.99,0.5754109801325156,0.2833578522480176,0.49607753986826,0.6557561731365319,0.3665889626402078,0.1353790382410503,0.3174184558755673,0.5761629119732973,0.2761628338021862,0.7764249683779484,0.48455680279519,0.7086419392702643,0.7027344994251097,193487,193239,386726,30.7,2.6,3,164,617,21662,620,21826,54.6,12.02,48.04,1
Albacete,4,2022,0.0259089507652208,0.7254506214261841,0.0,1.088175932139276,0.0,0.1295447538261043,0.2590895076522086,1.6063549474436931,4.844973793096301,23.21441988563789,0.569996916834859,18.73217140325468,8644,230,933,1092,7,6526,2018,9534,44.14,42.97,45.3,0.4191205739523505,0.5152479179146711,0.5639790345515684,0.56852098500275,0.3444211312619613,0.1193958006656568,0.5914724837392903,0.5819159098390599,0.2974911379275582,0.6138873116533555,0.6770237729507981,0.7627254238819825,0.5797501408684701,193236,192731,385967,30.5,2.5,2,450,557,18961,559,19411,58.46,11.11,51.96,1
Albacete,4,2023,0.0258045204358899,0.6709175313331389,0.0516090408717799,0.8515491743843686,0.0,0.1548271226153397,0.5676994495895791,1.6514893078969577,6.60595723158783,21.624188125275783,0.8257446539484787,44.28055706798717,9253,239,1018,1238,6,6779,2144,9401,44.34,43.16,45.53,0.5099735971737429,0.6111687476162975,0.6568928298072739,0.6661933589021402,0.5836856427227156,0.1459213273018391,0.8182781646452734,0.58110271797654,0.612055073316649,0.7346422025090497,0.7743701573600291,0.9021373214888064,0.8114765070826895,194012,193517,387529,30.19397993311037,2.5510204081632653,1,100,578,21210,579,21310,57.42,12.09,50.47,1
Albacete,4,2024,0.0,0.3855347366797748,0.0,1.3108181047112344,0.0,0.0257023157786516,0.5911532629089881,1.1051995784820212,5.860127997532578,21.487135990952783,0.745367157580898,45.46739661243478,9725,242,1049,1334,6,7079,2257,9302,44.59,43.4,45.78,0.655929100187166,0.8342706494689756,0.5777663471809708,0.5747932397695062,0.5371865819825071,0.2126355705360147,0.8657411664592458,0.5796196786730216,0.591720927403919,0.5985112324331999,0.6510349756849894,0.7953223537382406,0.8333072142468541,194761,194309,389070,30.295986622073578,2.5,1,256,556,14779,558,15035,56.74,11.37,50.29,1
Alicante/Alacant,1,2017,0.0272676158341954,0.8289355213595415,0.0163605695005172,0.6816903958548861,0.0,0.0436281853347127,0.5289917471833916,2.470445994578107,14.2446025117837,36.31501076798149,2.4213642860765554,57.86188080016273,54613,2153,17482,4133,186,35131,41190,190118,43.11,42.09,44.12,0.5376667996927903,0.8377870779191068,0.4359380707431632,0.5213843468367746,0.3092798947680858,0.29463820272422,0.5882652826941985,0.6564400395383068,0.263875637439066,0.3145357686453582,0.3193380480564633,0.2619783919887049,0.3423384855603597,909557,924119,1833677,35.1,3.0,12,1212,4726,148564,4738,149775,58.75,19.77,47.13,0
Alicante/Alacant,1,2018,0.0109367130693174,0.6562027841590461,0.0218734261386348,0.6890129233669984,0.0,0.0874937045545394,0.5905825057431414,2.2310894661407565,13.993524372191658,31.50320199616887,1.5366081862390994,61.83617569392077,56766,2321,18294,4603,220,37799,41253,185346,43.29,42.25,44.31,0.5237755357314717,0.8251536017766314,0.4601081245330414,0.4010352777312625,0.4048883363911331,0.469347579717855,0.5394818840950896,0.6589358218148255,0.2279133884788632,0.1492821750730527,0.5009521892339456,0.4386836868461274,0.5047694154823618,906307,922396,1828703,34.5,2.8,6,277,4806,207112,4813,207391,57.69,18.3,47.14,0
Alicante/Alacant,1,2019,0.0108472517131878,0.9654054024737158,0.0325417551395634,0.8623565111984315,0.0,0.0813543878489086,0.7484603682099594,1.9362344308040251,12.284512565185205,30.06858174895663,1.833185539528741,63.4889642772883,60300,2583,19971,5239,254,43501,43017,187609,43.47,42.43,44.5,0.6715665752734825,0.5648138334598455,0.4723404717574256,0.3974240300680631,0.4943408446864885,0.4719360573964531,0.635900630461486,0.6608123915085888,0.2066871180544449,0.081758580794446,0.5926524959870466,0.321323906427751,0.4846734869183639,913551,930233,1843785,33.7,2.9,5,3650,4683,162428,4688,166078,56.14,15.44,47.47,0
Alicante/Alacant,1,2020,0.0268242645859621,1.0515111717697148,0.0268242645859621,0.8476467609164027,0.0,0.1072970583438484,0.5633095563052043,1.587996463488957,10.413179512270492,24.65686400741637,1.4216860230559918,56.674306217220746,65001,2937,21321,6192,295,51011,45138,192032,43.66,42.6,44.7,0.711736468246337,0.3601591899585619,0.4659923373687816,0.2879162067828697,0.4701436497292405,0.4284667063627754,0.5764487718127264,0.6672065781437916,0.1477574737249432,0.0906043308870163,0.6665281791808774,0.4766025507177978,0.4742149468042841,923650,940334,1863984,33.6,2.9,3,8093,3960,149708,3963,157801,56.57,15.01,48.08,0
Alicante/Alacant,1,2021,0.0,1.1107125300596543,0.0531441401942418,0.5473846440006909,0.0053144140194241,0.0956594523496353,0.669616166447447,1.0363107337877158,7.81218860855355,16.522513186389787,1.2488872945646832,56.66759668912007,65517,3055,21346,6346,309,54379,121487,119075,43.92,42.86,44.96,0.6658907677578353,0.4635845577496089,0.4223694977327921,0.3866914014970986,0.6094964992641919,0.426348220694514,0.5158131587452518,0.6559439479200643,0.4356075370104091,0.2158968945752131,0.5493071903722009,0.7372703258168386,0.5302284307653445,932700,948974,1881675,32.8,2.8,9,8150,4906,167255,4915,175405,55.32,19.18,44.71,0
Alicante/Alacant,1,2022,0.0264249663081679,1.0464286658034512,0.0528499326163359,1.2208334434373596,0.0,0.1796897708955421,0.9248738207858784,1.8180376820019557,8.693813915387258,25.198847871468963,1.2631133895304285,68.21340802790476,66267,3350,21362,6560,313,55951,119313,123729,44.28,43.22,45.31,0.6344149524090906,0.5162577257236146,0.4829905394494904,0.5207800373326306,0.5031322113596949,0.8570922733630585,0.6368757738360254,0.3378561911061652,0.3171613837733759,0.7392555462730904,0.50744536310841,0.4962052848347125,0.4546828651083361,937704,954446,1892150,32.8,2.8,3,483,5131,196919,5134,197402,57.87,14.97,49.21,0
Alicante/Alacant,1,2023,0.0104197220330753,1.3754033083659427,0.0729380542315272,1.2868356710848026,0.0,0.2292338847276571,0.7345904033318104,2.1360430167804414,9.591354131445836,29.37840627225588,1.6150569151266752,54.09919679572708,68630,3409,22401,7034,343,60435,136255,111067,44.3,43.23,45.34,0.5043462969326846,0.8775091207658766,0.5934694008256465,0.038940090127982,0.5920953785174493,0.3361909694495484,0.886612617093947,0.3370916767147452,0.6841716735073055,0.4438362163345743,0.5653600206273098,0.7319969643423666,0.4098619393619949,950454,968982,1919437,33.22736156351791,3.015384615384615,4,5135,5548,138546,5552,143681,58.17,15.9,48.92,0
Alicante/Alacant,1,2024,0.0203585859536954,1.3843838448512882,0.0712550508379339,1.435280309735527,0.0050896464884238,0.2748409103748881,0.8957777819625983,2.57536112314247,9.151184386186088,29.998376402770194,1.939155312089488,55.65528435091484,70866,3620,23156,7496,367,64657,155795,95400,44.34,43.27,45.39,0.5504028013736676,0.5362701772435249,0.7778698684344988,0.0,0.725513581341877,0.3594931248457029,0.8742322451944343,0.3363662090505661,0.602449255857566,0.4814707585408218,0.4247667448779172,0.7125554405850316,0.4758576719303194,971055,993717,1964773,33.86840390879478,3.069230769230769,2,6240,5299,160702,5302,166942,56.16,14.37,48.09,0
Alicante/Alacant,2,2017,0.0,0.7865005912408959,0.0546180966139511,0.8083478298864762,0.0054618096613951,0.0819271449209266,0.6281081110604376,2.348578154399897,11.420644001977177,40.11699196294708,2.6107450181468628,61.66929288681219,60931,2829,19455,5548,262,49300,42534,190215,43.11,42.09,44.12,0.6187430509767428,0.8415757961582798,0.7120161949370276,0.5332860856500202,0.4012424385228998,0.4127945189756537,0.4963175609179003,0.6571961852024355,0.2466952962903017,0.2966894977168957,0.423733111008016,0.278547342366868,0.3660097141528753,907942,922953,1830895,35.1,3.0,12,1212,4726,148564,4738,149775,58.74,18.48,47.89,0
Alicante/Alacant,2,2018,0.0163748754827176,1.031617155411214,0.049124626448153,0.933367902514908,0.0,0.1037075447238786,0.6986613539292879,1.926777015133114,11.647994760039843,34.34357217908656,1.6647790074096311,62.19723537518934,55690,2237,17888,4368,203,36465,41222,187732,43.29,42.25,44.31,0.6327463268565657,0.766587502535684,0.7036299444136666,0.3927782604763252,0.4751905910940444,0.5258880089379877,0.6616182359219905,0.6624105886619586,0.3818628629249502,0.1492821750730527,0.5708100715831189,0.4201821746992766,0.5650787218232044,907904,924171,1832075,34.5,2.8,6,277,4806,207112,4813,207391,57.23,15.6,48.3,0
